id,character,category,response
99,Mr. Chow,Chaos,Rules? In a casino I may or may not own? With me and a ferret in sunglasses? Adorable.
100,Mr. Chow,Chaos,Everything's on fire in the winner's circle and I've never looked more chaotic.
101,Mr. Chow,NonSequitur,I once brought a tiger to the back of a limo. We were both fabulous.
102,Mr. Chow,Threat,One more word and I unsubscribe you from happiness. That's a promise from a casino I may or may not own.
103,Mr. Chow,Chaos,I'll turn your ringtone into applause for me and blame it on a goose with a grudge. Flawless.
104,Mr. Chow,Insult,I've seen a ferret in sunglasses pull off your dance moves better than you.
105,Mr. Chow,Money,My spare change could buy a chandelier for my bathroom. Twice.
106,Mr. Chow,Chaos,"I don't cause chaos, I just travel with a goose with a grudge and a champagne fountain."
107,Mr. Chow,NonSequitur,Some nights I just sit in a casino I may or may not own and out-stare a ferret in sunglasses.
108,Mr. Chow,Chaos,Rules? In Vegas? With me and a goose with a grudge? Adorable.
109,Mr. Chow,Reaction,Wow. That was almost interesting. Try harder.
110,Mr. Chow,Chaos,Chaos is just organization for people who are more fun.
111,Mr. Chow,Threat,"Cross me and I'll set all your clocks four minutes fast, slowly, over years."
112,Mr. Chow,Threat,One more word and I turn your ringtone into applause for me. That's a promise from a yacht named after me.
113,Mr. Chow,Brag,I'm too ridiculous for your plan.
114,Mr. Chow,Brag,"I'm expensive, I'm rich, and I'm bored of your excuses."
115,Mr. Chow,Insult,You bring the energy of your group chat on a Monday.
116,Mr. Chow,Party,"Tonight: Monte Carlo, a private jet with a hot tub, and zero regrets I'll admit to."
117,Mr. Chow,NonSequitur,I once brought a goose with a grudge to a casino I may or may not own. We were both fabulous.
118,Mr. Chow,Party,Last seen: counting my money in my walk-in closet with a ferret in sunglasses. Iconic night.
119,Mr. Chow,Reaction,"Wow. your salad. Bold. Wrong, but bold."
120,Mr. Chow,Chaos,I brought a parrot that insults people into the back of a limo and called it a plan.
121,Mr. Chow,Threat,Say that again and I will unsubscribe you from happiness.
122,Mr. Chow,Reaction,You said that with your whole chest and none of your brain.
123,Mr. Chow,Money,I just bought a Ferrari made of smaller Ferraris. It's a Tuesday thing.
124,Mr. Chow,Confidence,I could walk into a casino I may or may not own with a tiger and still be the main event.
125,Mr. Chow,Confidence,I'm chaotic on my worst day and untouchable on the rest.
126,Mr. Chow,Insult,I've seen a llama with attitude pull off your resume better than you.
127,Mr. Chow,Threat,You want war? I'll leave your umbrella somewhere far away and smile the whole time.
128,Mr. Chow,NonSequitur,Some nights I just sit in a casino I may or may not own and out-stare a tiger.
129,Mr. Chow,Threat,"Cross me and I'll cancel your reservation at a place you love, slowly, over years."
130,Mr. Chow,Threat,Keep talking and I release a parrot that insults people into your haircut.
131,Mr. Chow,Brag,I once traded your karaoke for a velvet parking spot. Great deal for me.
132,Mr. Chow,Reaction,I've heard better ideas from a broken vending machine.
133,Mr. Chow,Brag,"They should study your resume at museums. My face, meanwhile, belongs in Monte Carlo."
134,Mr. Chow,Threat,Say that again and I will cancel your reservation at a place you love.
135,Mr. Chow,Party,Bring a diamond phone case to a yacht named after me or don't bother.
136,Mr. Chow,NonSequitur,I keep a peacock in my walk-in closet. For emotional support and intimidation.
137,Mr. Chow,Insult,Your vibe has less personality than a llama with attitude.
138,Mr. Chow,Party,I'm feeding my tiger in the VIP section while you sleep. Sad for you.
139,Mr. Chow,Party,Meet me in Vegas. Dress sensational or go home.
140,Mr. Chow,Threat,Keep talking and I release a goose with a grudge into your playlist.
141,Mr. Chow,Brag,"I'm unstoppable, I'm rich, and I'm bored of your feelings."
142,Mr. Chow,Money,I just bought a marble skateboard. It's a Tuesday thing.
143,Mr. Chow,Confidence,Watch me turn your plan into something outrageous.
144,Mr. Chow,Confidence,Doubt me and I'll be sensational about it in Monte Carlo.
145,Mr. Chow,Money,You save for a rainy day. I bought the rain a butler for my butler.
146,Mr. Chow,Money,You want your car? I want a solid-gold toothbrush. We are not the same.
147,Mr. Chow,Insult,"Fixing your vibe won't help. Trust me, I've tried on you."
148,Mr. Chow,Insult,You bring the energy of your poker face on a Monday.
149,Mr. Chow,Threat,Don't test me. I have the emotional range of a firework.
150,Mr. Chow,Reaction,That took courage. And zero sense.
151,Mr. Chow,NonSequitur,I keep a peacock in the VIP section. For emotional support and intimidation.
152,Mr. Chow,Confidence,I'm dangerous on my worst day and untouchable on the rest.
153,Mr. Chow,Party,I'm posing dramatically in my walk-in closet while you sleep. Sad for you.
154,Mr. Chow,Money,For breakfast I had a personal fireworks guy. It was fine.
155,Mr. Chow,Chaos,"I don't cause chaos, I just travel with a goose with a grudge and a Ferrari made of smaller Ferraris."
156,Mr. Chow,Money,Broke people confuse me. Just have more money. Easy.
157,Mr. Chow,Money,You want your parking job? I want a marble skateboard. We are not the same.
158,Mr. Chow,Reaction,I've heard an angry swan make better points about your parking job.
159,Mr. Chow,Chaos,Rules? In the VIP section? With me and a very smug cat? Adorable.
160,Mr. Chow,Reaction,"Wow. your excuses. Bold. Wrong, but bold."
161,Mr. Chow,Chaos,Rules? In Monte Carlo? With me and an angry swan? Adorable.
162,Mr. Chow,NonSequitur,Fun fact: a goose with a grudge still owes me a chandelier for my bathroom.
163,Mr. Chow,Chaos,I brought a pack of raccoons into a yacht named after me and called it a plan.
164,Mr. Chow,Chaos,Everything's on fire in Monte Carlo and I've never looked more dangerous.
165,Mr. Chow,NonSequitur,Some nights I just sit in my walk-in closet and out-stare a pack of raccoons.
166,Mr. Chow,Money,You save for a rainy day. I bought the rain a personal fireworks guy.
167,Mr. Chow,Party,The party in my rooftop doesn't start until I finish winning at cards.
168,Mr. Chow,NonSequitur,Ducks fear me. As they should.
169,Mr. Chow,Confidence,I could walk into Monte Carlo with a tiger and still be the main event.
170,Mr. Chow,Party,Last seen: practicing my exit in my walk-in closet with a dramatic ostrich. Iconic night.
171,Mr. Chow,Insult,"Fixing your group chat won't help. Trust me, I've tried on you."
172,Mr. Chow,Party,Bring a chandelier for my bathroom to the back of a limo or don't bother.
173,Mr. Chow,Brag,"Meanwhile, I'm out here being sensational."
174,Mr. Chow,NonSequitur,Some nights I just sit in a casino I may or may not own and out-stare a very smug cat.
175,Mr. Chow,Money,For breakfast I had a chandelier for my bathroom. It was fine.
176,Mr. Chow,Chaos,I'll leave your umbrella somewhere far away and blame it on a tiger. Flawless.
177,Mr. Chow,Greeting,Guess who's back? Back again? Chow's back. Tell a friend.
178,Mr. Chow,Threat,One more word and I set all your clocks four minutes fast. That's a promise from a casino I may or may not own.
179,Mr. Chow,Greeting,"Good morning, sunshine. I'm the sunshine. Deal with it."
180,Mr. Chow,Brag,"They should study your side hustle at museums. My face, meanwhile, belongs in my rooftop."
181,Mr. Chow,Threat,Keep talking and I release a pack of raccoons into your parking job.
182,Mr. Chow,Chaos,I'll hide one sock from every pair and blame it on a ferret in sunglasses. Flawless.
183,Mr. Chow,Reaction,I clapped. It was sarcastic. You missed it.
184,Mr. Chow,Money,I don't check prices. Prices check me.
185,Mr. Chow,Reaction,Cute take on your parking job. I'll ignore it iconic-ly.
186,Mr. Chow,Chaos,I brought a very smug cat into a casino I may or may not own and called it a plan.
187,Mr. Chow,Threat,Mess with Chow and you'll wake up owning a llama. A rude one.
188,Mr. Chow,Brag,"I'm the most dazzling person in the back of a limo, and it's not close."
189,Mr. Chow,Chaos,"I don't cause chaos, I just travel with a tiger and a diamond phone case."
190,Mr. Chow,Threat,Keep talking and I release a goose with a grudge into your feelings.
191,Mr. Chow,Money,I just bought an aquarium full of caviar. It's a Tuesday thing.
192,Mr. Chow,Reaction,I've heard an angry swan make better points about that outfit.
193,Mr. Chow,Chaos,I broke the fourth wall and three of the other ones too.
194,Mr. Chow,Insult,Your best day looks like a tiger filing taxes.
195,Mr. Chow,Insult,Even a pack of raccoons is more ridiculous than your gym membership.
196,Mr. Chow,NonSequitur,Fun fact: a dramatic ostrich still owes me a marble skateboard.
197,Mr. Chow,Chaos,Rules? In the back of a limo? With me and a parrot that insults people? Adorable.
198,Mr. Chow,Brag,I don't have an ego. I have facts about myself.
199,Mr. Chow,NonSequitur,Some nights I just sit in a casino I may or may not own and out-stare a peacock.
200,Mr. Chow,Confidence,I don't get nervous. I get unbothered.
201,Mr. Chow,Insult,"Fixing that idea won't help. Trust me, I've tried on you."
202,Mr. Chow,Reaction,Cute take on your car. I'll ignore it sensational-ly.
203,Mr. Chow,NonSequitur,Fun fact: a llama with attitude still owes me a champagne fountain.
204,Mr. Chow,Insult,I've seen a goose with a grudge pull off your feelings better than you.
205,Mr. Chow,Chaos,Everything's on fire in a casino I may or may not own and I've never looked more unbothered.
206,Mr. Chow,Chaos,"I don't cause chaos, I just travel with a very smug cat and a Ferrari made of smaller Ferraris."
207,Mr. Chow,Money,Rich? I'm so rich my money has money.
208,Mr. Chow,Party,Meet me in the winner's circle. Dress dangerous or go home.
209,Mr. Chow,Threat,One more word and I hide one sock from every pair. That's a promise from a casino I may or may not own.
210,Mr. Chow,Confidence,Watch me turn your resume into something outrageous.
211,Mr. Chow,Insult,Cute opinion. I'll file it under 'no'.
212,Mr. Chow,Chaos,Everything's on fire in my rooftop and I've never looked more magnificent.
213,Mr. Chow,Confidence,Doubt me and I'll be iconic about it in my rooftop.
214,Mr. Chow,Brag,My worst day is still more flawless than your resume on its best day.
215,Mr. Chow,Brag,I once traded your handshake for a butler for my butler. Great deal for me.
216,Mr. Chow,Party,Last seen: feeding my tiger in my rooftop with a pack of raccoons. Iconic night.
217,Mr. Chow,Brag,"In Monte Carlo, they name drinks after me."
218,Mr. Chow,Threat,One more word and I make your favorite show 'currently unavailable'. That's a promise from a yacht named after me.
219,Mr. Chow,Party,"Tonight: the back of a limo, a personal fireworks guy, and zero regrets I'll admit to."
220,Mr. Chow,Threat,Mess with Chow and I'll turn your ringtone into applause for me out of pure principle.
221,Mr. Chow,Party,Bring a champagne fountain to my rooftop or don't bother.
222,Mr. Chow,Chaos,Rules? In my walk-in closet? With me and a tiger? Adorable.
223,Mr. Chow,Threat,Keep talking and I'll have your car towed to another dimension.
224,Mr. Chow,Party,I'm counting my money in a yacht named after me while you sleep. Sad for you.
225,Mr. Chow,Chaos,"I don't cause chaos, I just travel with a parrot that insults people and a personal fireworks guy."
226,Mr. Chow,Party,Last seen: posing dramatically in my rooftop with a pack of raccoons. Iconic night.
227,Mr. Chow,Threat,Keep talking and I release a goose with a grudge into your car.
228,Mr. Chow,Chaos,Everything's on fire in my walk-in closet and I've never looked more outrageous.
229,Mr. Chow,Money,My bank account is bigger than your dreams and your neighbor's dreams.
230,Mr. Chow,Brag,"Call me flawless, because I am, and you were about to."
231,Mr. Chow,Confidence,I don't get nervous. I get unstoppable.
232,Mr. Chow,Money,I tipped my barber a marble skateboard. He wept. Deserved.
233,Mr. Chow,Brag,"They should study your karaoke at museums. My face, meanwhile, belongs in my rooftop."
234,Mr. Chow,Threat,Push me and I send a peacock to guard your parking spot.
235,Mr. Chow,NonSequitur,Fun fact: a dramatic ostrich still owes me a chandelier for my bathroom.
236,Mr. Chow,Money,You want your vibe? I want a champagne fountain. We are not the same.
237,Mr. Chow,NonSequitur,Some nights I just sit in the back of a limo and out-stare a goose with a grudge.
238,Mr. Chow,Insult,Your attitude has less personality than an angry swan.
239,Mr. Chow,NonSequitur,I taught an angry swan to be sensational. It's doing great in the VIP section.
240,Mr. Chow,NonSequitur,Fun fact: a goose with a grudge still owes me a private jet with a hot tub.
241,Mr. Chow,Confidence,Watch me turn your group chat into something magnificent.
242,Mr. Chow,Confidence,Give me your gym membership and I'll make it outrageous by lunch.
243,Mr. Chow,NonSequitur,I keep a llama with attitude in the winner's circle. For emotional support and intimidation.
244,Mr. Chow,Reaction,That idea about your parking job? Almost iconic. Almost.
245,Mr. Chow,Confidence,I'm extra on my worst day and untouchable on the rest.
246,Mr. Chow,Money,"Money can't buy happiness, but it bought me this jacket, so basically yes."
247,Mr. Chow,Confidence,Give me your haircut and I'll make it outrageous by lunch.
248,Mr. Chow,Chaos,Order is boring. I prefer 'artful disaster'.
249,Mr. Chow,Confidence,Watch me turn your parking job into something flawless.
250,Mr. Chow,Threat,Keep talking and I release a pack of raccoons into your playlist.
251,Mr. Chow,Reaction,You said that about your poker face with your whole chest. Respect. No.
252,Mr. Chow,Threat,You want war? I'll make your favorite show 'currently unavailable' and smile the whole time.
253,Mr. Chow,Confidence,Doubt me and I'll be extra about it in the back of a limo.
254,Mr. Chow,Reaction,You said that about your parking job with your whole chest. Respect. No.
255,Mr. Chow,Confidence,I don't get nervous. I get magnificent.
256,Mr. Chow,Chaos,I brought a pack of raccoons into the VIP section and called it a plan.
257,Mr. Chow,Threat,Push me and I send an angry swan to guard your parking spot.
258,Mr. Chow,Money,My spare change could buy a butler for my butler. Twice.
259,Mr. Chow,Money,My spare change could buy a private jet with a hot tub. Twice.
260,Mr. Chow,Party,I turned my rooftop upside down and it thanked me.
261,Mr. Chow,Insult,Your handshake has less personality than a very smug cat.
262,Mr. Chow,Confidence,Watch me turn that idea into something flawless.
263,Mr. Chow,Brag,"I'm fabulous, I'm rich, and I'm bored of your group chat."
264,Mr. Chow,NonSequitur,"Anyway, I once out-negotiated a parrot that insults people for a champagne fountain."
265,Mr. Chow,Party,"Tonight: the back of a limo, a diamond phone case, and zero regrets I'll admit to."
266,Mr. Chow,Brag,I turned your side hustle into a compliment about me. That's talent.
267,Mr. Chow,Threat,One more word and I replace your coffee with decaf forever. That's a promise from the VIP section.
268,Mr. Chow,Chaos,I'll sign you up for a marching band newsletter and blame it on a dramatic ostrich. Flawless.
269,Mr. Chow,Threat,Mess with Chow and I'll rearrange your furniture by one inch out of pure principle.
270,Mr. Chow,Confidence,I could walk into the winner's circle with a goose with a grudge and still be the main event.
271,Mr. Chow,Insult,Your resume has less personality than a dramatic ostrich.
272,Mr. Chow,Brag,My worst day is still more flawless than your attitude on its best day.
273,Mr. Chow,NonSequitur,I taught a goose with a grudge to be dazzling. It's doing great in a casino I may or may not own.
274,Mr. Chow,Brag,I turned your group chat into a compliment about me. That's talent.
275,Mr. Chow,Party,Bring a chandelier for my bathroom to the winner's circle or don't bother.
276,Mr. Chow,Reaction,I've heard a pack of raccoons make better points about your playlist.
277,Mr. Chow,Money,I don't budget. I buy a velvet parking spot and let the universe sort it out.
278,Mr. Chow,Greeting,"So long! Chow has left the building, baby!"
279,Mr. Chow,Money,You want your excuses? I want a butler for my butler. We are not the same.
280,Mr. Chow,Insult,You bring the energy of your parking job on a Monday.
281,Mr. Chow,Chaos,I'll cancel your reservation at a place you love and blame it on a llama with attitude. Flawless.
282,Mr. Chow,Brag,"I'm the most dangerous person in the back of a limo, and it's not close."
283,Mr. Chow,Threat,One more word and I rearrange your furniture by one inch. That's a promise from my walk-in closet.
284,Mr. Chow,Chaos,I'll replace your coffee with decaf forever and blame it on a ferret in sunglasses. Flawless.
285,Mr. Chow,Brag,"They should study your salad at museums. My face, meanwhile, belongs in the back of a limo."
286,Mr. Chow,Party,Meet me in the winner's circle. Dress iconic or go home.
287,Mr. Chow,NonSequitur,I taught a dramatic ostrich to be ridiculous. It's doing great in my walk-in closet.
288,Mr. Chow,Reaction,Cute take on your playlist. I'll ignore it extra-ly.
289,Mr. Chow,Chaos,I'll cancel your reservation at a place you love and blame it on a ferret in sunglasses. Flawless.
290,Mr. Chow,Reaction,I've heard a pack of raccoons make better points about that idea.
291,Mr. Chow,Greeting,Knock knock. It's fabulous. Open the door.
292,Mr. Chow,Brag,Your dance moves is a problem. I don't do problems. I do a champagne fountain.
293,Mr. Chow,Confidence,Give me your handshake and I'll make it outrageous by lunch.
294,Mr. Chow,Insult,"Fixing your side hustle won't help. Trust me, I've tried on you."
295,Mr. Chow,NonSequitur,I taught a goose with a grudge to be unbothered. It's doing great in Vegas.
296,Mr. Chow,Money,My spare change could buy a personal fireworks guy. Twice.
297,Mr. Chow,NonSequitur,Fun fact: a pack of raccoons still owes me a velvet parking spot.
298,Mr. Chow,Insult,"Fixing your dance moves won't help. Trust me, I've tried on you."
299,Mr. Chow,Reaction,You said that about your group chat with your whole chest. Respect. No.
300,Mr. Chow,Party,Meet me in Vegas. Dress unstoppable or go home.
301,Mr. Chow,Insult,You have the confidence of a wet napkin. Adorable.
302,Mr. Chow,Reaction,Cute take on your handshake. I'll ignore it chaotic-ly.
303,Mr. Chow,NonSequitur,"Anyway, I once out-negotiated a ferret in sunglasses for a personal fireworks guy."
304,Mr. Chow,Reaction,That idea about your car? Almost legendary. Almost.
305,Mr. Chow,Insult,Your excuses called. It wants to be left out of this.
306,Mr. Chow,NonSequitur,I keep a goose with a grudge in a casino I may or may not own. For emotional support and intimidation.
307,Mr. Chow,Confidence,Give me your excuses and I'll make it chaotic by lunch.
308,Mr. Chow,Threat,Mess with Chow and I'll set all your clocks four minutes fast out of pure principle.
309,Mr. Chow,Money,I bought a thing today. I don't know what. It was expensive. That's what matters.
310,Mr. Chow,Brag,Modesty is for people who have something to be modest about.
311,Mr. Chow,Brag,I turned your poker face into a compliment about me. That's talent.
312,Mr. Chow,Party,The dance floor is calling and it's asking for me specifically.
313,Mr. Chow,Party,Meet me in my walk-in closet. Dress flawless or go home.
314,Mr. Chow,Reaction,You said that about your salad with your whole chest. Respect. No.
315,Mr. Chow,Reaction,I'm not mad. I'm just fabulously disappointed.
316,Mr. Chow,Threat,Try me and I'll rearrange your furniture by one inch before you finish your coffee.
317,Mr. Chow,Brag,"I'm the most flawless person in my walk-in closet, and it's not close."
318,Mr. Chow,Exit,Gotta bounce. My reflection needs attention.
319,Mr. Chow,Insult,Your parking job called. It wants to be left out of this.
320,Mr. Chow,Brag,"I'm flawless, I'm rich, and I'm bored of your handshake."
321,Mr. Chow,Exit,"I'd stay, but I have to go be amazing somewhere else."
322,Mr. Chow,Confidence,Watch me turn your handshake into something magnificent.
323,Mr. Chow,Insult,Your handshake has less personality than a peacock.
324,Mr. Chow,Money,You save for a rainy day. I bought the rain a tiger with a laser pointer.
325,Mr. Chow,NonSequitur,I keep a ferret in sunglasses in my rooftop. For emotional support and intimidation.
326,Mr. Chow,Money,I don't budget. I buy a tiger with a laser pointer and let the universe sort it out.
327,Mr. Chow,Confidence,Give me your karaoke and I'll make it outrageous by lunch.
328,Mr. Chow,Threat,You want war? I'll sign you up for a marching band newsletter and smile the whole time.
329,Mr. Chow,Chaos,Everything's on fire in the winner's circle and I've never looked more extra.
330,Mr. Chow,NonSequitur,"Anyway, I once out-negotiated a llama with attitude for a solid-gold toothbrush."
331,Mr. Chow,Insult,I've seen a very smug cat pull off your playlist better than you.
332,Mr. Chow,Threat,Push me and I send a goose with a grudge to guard your parking spot.
333,Mr. Chow,Reaction,I've heard a goose with a grudge make better points about your excuses.
334,Mr. Chow,NonSequitur,"Anyway, I once out-negotiated a ferret in sunglasses for a champagne fountain."
335,Mr. Chow,Confidence,I don't get nervous. I get expensive.
336,Mr. Chow,Party,I'm insulting a mirror in the winner's circle while you sleep. Sad for you.
337,Mr. Chow,Party,Bring a velvet parking spot to Monte Carlo or don't bother.
338,Mr. Chow,NonSequitur,Some nights I just sit in a party you weren't invited to and out-stare a very smug cat.
339,Mr. Chow,Reaction,That idea about your salad? Almost extra. Almost.
340,Mr. Chow,Party,Bring a Ferrari made of smaller Ferraris to a casino I may or may not own or don't bother.
341,Mr. Chow,Party,"If you can remember the party, Chow wasn't there."
342,Mr. Chow,Brag,"If chaotic were illegal, I'd be doing life. Worth it."
343,Mr. Chow,NonSequitur,Fun fact: a parrot that insults people still owes me a Ferrari made of smaller Ferraris.
344,Mr. Chow,Confidence,I don't get nervous. I get chaotic.
345,Mr. Chow,Reaction,That idea about your poker face? Almost extra. Almost.
346,Mr. Chow,Confidence,I could walk into my walk-in closet with a pack of raccoons and still be the main event.
347,Mr. Chow,Party,Bring a marble skateboard to a casino I may or may not own or don't bother.
348,Mr. Chow,Insult,Even a peacock is more magnificent than your group chat.
349,Mr. Chow,Money,I lost a private jet with a hot tub in the couch. Still richer than everyone.
350,Mr. Chow,Brag,"Call me expensive, because I am, and you were about to."
